# Local and specific interest aircraft
# Format: Entity,Start_ICAO,End_ICAO
Fairfax Co PD Helicopter,A1C183,A1C183
VA State Police,A60D43,A60D43
VA State Police,A7E59A,A7E59A
VA State Police,A7EF49,A7EF49
US Park Police,A4F39A,A4F39A
US Park Police,A4F849,A4F849
MedSTAR Medevac,A615D1,A615D1
MedSTAR Medevac,A643A1,A643A1
MedSTAR Medevac,A7C72C,A7C72C
FBI/DOJ Surveillance,A0E493,A0E493
FBI/DOJ Surveillance,A1383A,A1383A
FBI/DOJ Surveillance,A1E647,A1E647
FBI/DOJ Surveillance,A404E2,A404E2
FBI/DOJ Surveillance,A48B1B,A48B1B
FBI/DOJ Surveillance,A4B2B1,A4B2B1
FBI/DOJ Surveillance,A60517,A60517
FBI/DOJ Surveillance,A6C299,A6C299
FBI/DOJ Surveillance,A71946,A71946
FBI/DOJ Surveillance,AC9E30,AC9E30
